maxDepth,th,eta,nRounds,accuracy,logloss
1,0.5,0.3,85,0.765957446808511,0.460156291550419
1,0.5,0.3,86,0.765957446808511,0.459129834867283
1,0.5,0.3,87,0.765957446808511,0.460729855221518
1,0.5,0.3,88,0.765957446808511,0.460797667323445
1,0.5,0.3,89,0.765957446808511,0.460707171437798
1,0.5,0.3,90,0.765957446808511,0.460765253616532
1,0.5,0.3,91,0.765957446808511,0.462225386358381
1,0.5,0.3,92,0.765957446808511,0.462176177326632
1,0.5,0.3,93,0.765957446808511,0.462479118331837
1,0.5,0.3,94,0.765957446808511,0.46239834640592
1,0.5,0.3,95,0.765957446808511,0.462453453932206
1,0.5,0.3,96,0.765957446808511,0.46237057054828
1,0.5,0.3,97,0.765957446808511,0.461323724113203
1,0.5,0.3,98,0.765957446808511,0.46213114025993
1,0.5,0.3,99,0.765957446808511,0.462764584821454
1,0.5,0.3,100,0.765957446808511,0.461772375563612
1,0.5,0.4,1,0.74468085106383,0.57928279817108
1,0.5,0.4,2,0.74468085106383,0.526630889107113
1,0.5,0.4,3,0.74468085106383,0.516572158597534
1,0.5,0.4,4,0.74468085106383,0.501950827409395
1,0.5,0.4,5,0.74468085106383,0.494624018067102
1,0.5,0.4,6,0.74468085106383,0.486804363271988
1,0.5,0.4,7,0.74468085106383,0.489022456100509
1,0.5,0.4,8,0.74468085106383,0.488598059499641
1,0.5,0.4,9,0.74468085106383,0.486737809948439
1,0.5,0.4,10,0.74468085106383,0.484435056928231
1,0.5,0.4,11,0.765957446808511,0.489252169511549
1,0.5,0.4,12,0.765957446808511,0.483872370524264
1,0.5,0.4,13,0.765957446808511,0.482650855834473
1,0.5,0.4,14,0.787234042553192,0.479648422295767
1,0.5,0.4,15,0.787234042553192,0.482848188605832
1,0.5,0.4,16,0.787234042553192,0.485840503723606
1,0.5,0.4,17,0.765957446808511,0.479053664257232
1,0.5,0.4,18,0.765957446808511,0.471787185466958
1,0.5,0.4,19,0.765957446808511,0.470662015520464
1,0.5,0.4,20,0.765957446808511,0.470176247240876
1,0.5,0.4,21,0.765957446808511,0.472857870185051
1,0.5,0.4,22,0.765957446808511,0.464251083820297
1,0.5,0.4,23,0.765957446808511,0.467018973410138
1,0.5,0.4,24,0.765957446808511,0.467042800420172
1,0.5,0.4,25,0.765957446808511,0.469993324366966
1,0.5,0.4,26,0.765957446808511,0.466162366290707
1,0.5,0.4,27,0.765957446808511,0.467468385923992
1,0.5,0.4,28,0.765957446808511,0.465196254958606
1,0.5,0.4,29,0.765957446808511,0.46736054279239
1,0.5,0.4,30,0.765957446808511,0.466811146253547
1,0.5,0.4,31,0.765957446808511,0.466638992544875
1,0.5,0.4,32,0.765957446808511,0.46555279186072
1,0.5,0.4,33,0.765957446808511,0.464817001584813
1,0.5,0.4,34,0.765957446808511,0.464693153794534
1,0.5,0.4,35,0.765957446808511,0.467897062522072
1,0.5,0.4,36,0.765957446808511,0.467848446172504
1,0.5,0.4,37,0.765957446808511,0.469566191709498
1,0.5,0.4,38,0.765957446808511,0.464154428303217
1,0.5,0.4,39,0.765957446808511,0.463832081720863
1,0.5,0.4,40,0.765957446808511,0.463430071869377
1,0.5,0.4,41,0.765957446808511,0.461412046402108
1,0.5,0.4,42,0.765957446808511,0.463404808791815
1,0.5,0.4,43,0.765957446808511,0.460943804660618
1,0.5,0.4,44,0.765957446808511,0.463202751722959
1,0.5,0.4,45,0.765957446808511,0.463088895183499
1,0.5,0.4,46,0.765957446808511,0.465488838082192
1,0.5,0.4,47,0.765957446808511,0.463934768242522
1,0.5,0.4,48,0.765957446808511,0.465354905107789
1,0.5,0.4,49,0.765957446808511,0.463349437297528
1,0.5,0.4,50,0.765957446808511,0.465234021146076
1,0.5,0.4,51,0.765957446808511,0.463501920603587
1,0.5,0.4,52,0.765957446808511,0.46612398521187
1,0.5,0.4,53,0.765957446808511,0.464689181120229
1,0.5,0.4,54,0.765957446808511,0.466921174597694
1,0.5,0.4,55,0.765957446808511,0.466423897916227
1,0.5,0.4,56,0.765957446808511,0.464679003322556
1,0.5,0.4,57,0.765957446808511,0.466445470110083
1,0.5,0.4,58,0.765957446808511,0.463459774279019
1,0.5,0.4,59,0.765957446808511,0.465683456242931
1,0.5,0.4,60,0.765957446808511,0.465172371245887
1,0.5,0.4,61,0.765957446808511,0.466662731454596
1,0.5,0.4,62,0.765957446808511,0.466444020736821
1,0.5,0.4,63,0.765957446808511,0.465042178713218
1,0.5,0.4,64,0.765957446808511,0.467232571896087
1,0.5,0.4,65,0.765957446808511,0.467322880860197
1,0.5,0.4,66,0.765957446808511,0.46720973109834
1,0.5,0.4,67,0.765957446808511,0.468357997160231
1,0.5,0.4,68,0.765957446808511,0.466787239917602
1,0.5,0.4,69,0.765957446808511,0.468697705887379
1,0.5,0.4,70,0.765957446808511,0.465502388068038
1,0.5,0.4,71,0.765957446808511,0.465599085874303
