n,thresholdModel,thresholdClass,Accuracy,logloss
12,0.45,0.5,0.765957446808511,0.435666650568541
12,0.5,0.5,0.765957446808511,0.435666650568541
12,0.55,0.5,0.765957446808511,0.45125772904106
12,0.6,0.5,0.765957446808511,0.45125772904106
12,0.65,0.5,0.765957446808511,0.45125772904106
12,0.7,0.5,0.765957446808511,0.45125772904106
12,0.75,0.5,0.765957446808511,0.45125772904106
12,0.8,0.5,0.765957446808511,0.45125772904106
12,0.85,0.5,0.765957446808511,0.45125772904106
12,0.9,0.5,0.765957446808511,0.45125772904106
12,0.95,0.5,0.765957446808511,0.45125772904106
12,1,0.5,0.74468085106383,0.489109816704363
13,0.05,0.5,0.765957446808511,0.429901610212452
13,0.1,0.5,0.765957446808511,0.432065847929262
13,0.15,0.5,0.74468085106383,0.432543583574006
13,0.2,0.5,0.74468085106383,0.431267028738381
13,0.25,0.5,0.74468085106383,0.431267028738381
13,0.3,0.5,0.74468085106383,0.431267028738381
13,0.35,0.5,0.787234042553192,0.431151575459198
13,0.4,0.5,0.808510638297872,0.430602140851929
13,0.45,0.5,0.765957446808511,0.430521902294354
13,0.5,0.5,0.765957446808511,0.431876399362915
13,0.55,0.5,0.765957446808511,0.431876399362915
13,0.6,0.5,0.765957446808511,0.431876399362915
13,0.65,0.5,0.765957446808511,0.431876399362915
13,0.7,0.5,0.765957446808511,0.431876399362915
13,0.75,0.5,0.765957446808511,0.431876399362915
13,0.8,0.5,0.765957446808511,0.438882020678549
13,0.85,0.5,0.765957446808511,0.438882020678549
13,0.9,0.5,0.74468085106383,0.487989900330107
13,0.95,0.5,0.74468085106383,0.487989900330107
13,1,0.5,0.74468085106383,0.487989900330107
14,0.05,0.5,0.765957446808511,0.432029345369635
14,0.1,0.5,0.74468085106383,0.430379734256191
14,0.15,0.5,0.74468085106383,0.428373712188861
14,0.2,0.5,0.74468085106383,0.428373712188861
14,0.25,0.5,0.74468085106383,0.426853592911043
14,0.3,0.5,0.808510638297872,0.427508476199345
14,0.35,0.5,0.808510638297872,0.427804659555161
14,0.4,0.5,0.808510638297872,0.430198847385591
14,0.45,0.5,0.808510638297872,0.430198847385591
14,0.5,0.5,0.808510638297872,0.429102191244364
14,0.55,0.5,0.808510638297872,0.429102191244364
14,0.6,0.5,0.765957446808511,0.449783157237717
14,0.65,0.5,0.765957446808511,0.449783157237717
14,0.7,0.5,0.765957446808511,0.449783157237717
14,0.75,0.5,0.765957446808511,0.449783157237717
14,0.8,0.5,0.765957446808511,0.449783157237717
14,0.85,0.5,0.765957446808511,0.449783157237717
14,0.9,0.5,0.765957446808511,0.449783157237717
14,0.95,0.5,0.765957446808511,0.449783157237717
14,1,0.5,0.765957446808511,0.449783157237717
15,0.05,0.5,0.765957446808511,0.432491369514285
15,0.1,0.5,0.74468085106383,0.430460731998398
15,0.15,0.5,0.74468085106383,0.430225265741535
15,0.2,0.5,0.74468085106383,0.430059110607462
15,0.25,0.5,0.74468085106383,0.430059110607462
15,0.3,0.5,0.765957446808511,0.432545756045352
15,0.35,0.5,0.765957446808511,0.432545756045352
15,0.4,0.5,0.808510638297872,0.436904066245942
15,0.45,0.5,0.808510638297872,0.436904066245942
15,0.5,0.5,0.787234042553192,0.440693658373156
15,0.55,0.5,0.787234042553192,0.440693658373156
15,0.6,0.5,0.787234042553192,0.440693658373156
15,0.65,0.5,0.787234042553192,0.440693658373156
15,0.7,0.5,0.787234042553192,0.440693658373156
15,0.75,0.5,0.787234042553192,0.440693658373156
15,0.8,0.5,0.787234042553192,0.440693658373156
15,0.85,0.5,0.787234042553192,0.440693658373156
15,0.9,0.5,0.787234042553192,0.440693658373156
15,0.95,0.5,0.787234042553192,0.440693658373156
15,1,0.5,0.787234042553192,0.440693658373156
16,0.05,0.5,0.808510638297872,0.462402978570168
16,0.1,0.5,0.74468085106383,0.43210359923591
16,0.15,0.5,0.74468085106383,0.430492920247715
16,0.2,0.5,0.74468085106383,0.428604286529724
16,0.25,0.5,0.74468085106383,0.428604286529724
16,0.3,0.5,0.765957446808511,0.428157637325984
16,0.35,0.5,0.765957446808511,0.428157637325984
16,0.4,0.5,0.765957446808511,0.428157637325984
16,0.45,0.5,0.808510638297872,0.431832461262251
16,0.5,0.5,0.787234042553192,0.442358341243138
16,0.55,0.5,0.787234042553192,0.442358341243138
16,0.6,0.5,0.787234042553192,0.442358341243138
16,0.65,0.5,0.787234042553192,0.442358341243138
16,0.7,0.5,0.787234042553192,0.442358341243138
16,0.75,0.5,0.787234042553192,0.442358341243138
16,0.8,0.5,0.74468085106383,0.474399169425052
