nodes,nTree,accuracy
15,8,0.713375796178344
16,8,0.719148936170213
17,8,0.738853503184713
18,8,0.728813559322034
19,8,0.718220338983051
20,8,0.732067510548523
21,8,0.715189873417722
22,8,0.743157894736842
23,8,0.735169491525424
24,8,0.73134328358209
25,8,0.744136460554371
26,8,0.72093023255814
27,8,0.713375796178344
28,8,0.723991507430998
29,8,0.731501057082452
30,8,0.732067510548523
31,8,0.740425531914894
32,8,0.734607218683652
33,8,0.741452991452992
34,8,0.737179487179487
35,8,0.737179487179487
36,8,0.735042735042735
37,8,0.752118644067797
38,8,0.713375796178344
39,8,0.724576271186441
40,8,0.728813559322034
41,8,0.738396624472574
42,8,0.75
43,8,0.735169491525424
44,8,0.745222929936306
45,8,0.743099787685775
46,8,0.743099787685775
47,8,0.713983050847458
48,8,0.739957716701903
49,8,0.726114649681529
50,8,0.721276595744681
51,8,0.721276595744681
52,8,0.718220338983051
53,8,0.731501057082452
54,8,0.713983050847458
55,8,0.727078891257996
56,8,0.754756871035941
57,8,0.744186046511628
58,8,0.744186046511628
59,8,0.754756871035941
60,8,0.765591397849462
61,8,0.765591397849462
62,8,0.765591397849462
63,8,0.747368421052632
64,8,0.747368421052632
65,8,0.729957805907173
66,8,0.729957805907173
67,8,0.742071881606765
68,8,0.765327695560254
69,8,0.744186046511628
70,8,0.710359408033827
71,8,0.710359408033827
72,8,0.710359408033827
73,8,0.710359408033827
74,8,0.735169491525424
75,8,0.735169491525424
76,8,0.735169491525424
77,8,0.735169491525424
78,8,0.735169491525424
79,8,0.73728813559322
80,8,0.73728813559322
81,8,0.726694915254237
82,8,0.733050847457627
83,8,0.733050847457627
84,8,0.733050847457627
85,8,0.733050847457627
86,8,0.726694915254237
87,8,0.755274261603376
88,8,0.740976645435244
89,8,0.738758029978587
90,8,0.719148936170213
91,8,0.746835443037975
92,8,0.752100840336134
93,8,0.752100840336134
94,8,0.752100840336134
95,8,0.752100840336134
96,8,0.729211087420043
97,8,0.729211087420043
98,8,0.720430107526882
99,8,0.720430107526882
100,8,0.720430107526882
1,9,0.682672233820459
2,9,0.686070686070686
3,9,0.703549060542798
4,9,0.714583333333333
5,9,0.695833333333333
6,9,0.719334719334719
7,9,0.699792960662526
8,9,0.70625
9,9,0.710416666666667
10,9,0.718162839248434
11,9,0.73125
12,9,0.706131078224102
13,9,0.715789473684211
14,9,0.726315789473684
15,9,0.71218487394958
16,9,0.715789473684211
17,9,0.733752620545073
18,9,0.740041928721174
19,9,0.72421052631579
20,9,0.742677824267782
21,9,0.734309623430962
22,9,0.746861924686193
23,9,0.72093023255814
24,9,0.735294117647059
25,9,0.749473684210526
26,9,0.738947368421053
27,9,0.712788259958071
28,9,0.719077568134172
29,9,0.738947368421053
30,9,0.733752620545073
31,9,0.733193277310924
